"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1962/03/01","00:00","1.934","NaN","0.739","0.08","0.053","-0.633","NaN","-1.206","0"
"1962/04/01","00:00","0.989","NaN","0.599","-0.103","-0.136","-0.871","NaN","-1.358","0"
"1962/05/01","00:00","1.172","NaN","0.687","-0.02","-0.048","-0.785","NaN","-1.114","0"
"1962/06/01","00:00","0.989","NaN","0.696","0.001","-0.023","-0.743","NaN","-1.053","0"
"1962/07/01","00:00","1.05","NaN","0.693","0.007","-0.023","-0.736","NaN","-0.962","0"
"1962/08/01","00:00","0.989","NaN","0.681","-0.011","-0.023","-0.724","NaN","-1.084","0"
"1962/09/01","00:00","1.05","NaN","0.663","-0.023","-0.042","-0.749","NaN","-1.175","0"
"1962/10/01","00:00","1.05","NaN","0.653","-0.029","-0.048","-0.746","NaN","-1.267","0"
"1962/11/01","00:00","1.568","NaN","0.644","-0.023","-0.048","-0.743","NaN","-1.297","0"
"1962/12/01","00:00","1.324","NaN","0.544","-0.151","-0.157","-0.861","NaN","-2.029","0"
"1963/01/01","00:00","1.293","NaN","0.592","-0.09","-0.109","-0.81","NaN","-1.755","0"
"1963/02/01","00:00","0.806","NaN","0.361","-0.316","-0.337","-1.035","NaN","-1.45","0"
"1963/03/01","00:00","1.019","NaN","0.531","-0.142","-0.176","-0.883","NaN","-1.297","0"
"1963/04/01","00:00","1.202","NaN","0.562","-0.121","-0.145","-0.855","NaN","-1.45","0"
"1963/05/01","00:00","0.989","NaN","0.531","-0.145","-0.173","-0.877","NaN","-1.267","0"
"1963/06/01","00:00","1.08","NaN","0.611","-0.069","-0.096","-0.8","NaN","-1.236","0"
"1963/07/01","00:00","1.05","NaN","0.605","-0.048","-0.084","-0.773","NaN","-0.993","0"
"1963/08/01","00:00","0.836","NaN","0.605","-0.066","-0.087","-0.782","NaN","-1.053","0"
"1963/09/01","00:00","1.141","NaN","0.595","-0.069","-0.093","-0.785","NaN","-1.114","0"
"1963/10/01","00:00","0.989","NaN","0.595","-0.096","-0.124","-0.843","NaN","-1.267","0"
"1963/11/01","00:00","1.233","NaN","0.617","-0.06","-0.09","-0.797","NaN","-1.602","0"
"1963/12/01","00:00","0.989","NaN","0.443","-0.237","-0.273","-0.989","NaN","-1.663","0"
